name,hec-key,province
bắc-giang,24,Bac Giang
hồ-chí-minh,79,Ho Chi Minh
bắc-ninh,27,Bac Ninh
hải-dương,30,Hai Duong
hà-nội,01,Ha Noi
đà-nẵng,48,Da Nang
bà-rịa-vũng-tàu,77,Ba Ria Vung Tau
quảng-nam,49,Quang Nam
bình-dương,74,Binh Duong
vĩnh-phúc,26,Vinh Phuc
lạng-sơn,20,Lang Son
hà-tĩnh,42,Ha Tinh
quảng-ninh,22,Quang Ninh
tây-ninh,72,Tay Ninh
hưng-yên,33,Hung Yen
kiên-giang,91,Kien Giang
thái-bình,34,Thai Binh
điện-biên,11,Dien Bien
hà-nam,35,Ha Nam
bạc-liêu,95,Bac Lieu
ninh-bình,37,Ninh Binh
hòa-bình,17,Hoa Binh
nghệ-an,40,Nghe An
cần-thơ,92,Can Tho
đồng-tháp,87,Dong Thap
thanh-hóa,38,Thanh Hoa
nam-định,36,Nam Dinh
an-giang,89,An Giang
sóc-trăng,94,Soc Trang
vĩnh-long,86,Vinh Long
quảng-trị,45,Quang Tri
hải-phòng,31,Hai Phong
trà-vinh,84,Tra Vinh
thái-nguyên,19,Thai Nguyen
cà-mau,96,Ca Mau
phú-thọ,25,Phu Tho
quảng-ngãi,51,Quang Ngai
thừa-thiên-huế,46,Thua Thien Hue
yên-bái,15,Yen Bai
lào-cai,10,Lao Cai
hà-giang,02,Ha Giang
tuyên-quang,08,Tuyen Quang
lai-châu,12,Lai Chau
sơn-la,14,Son La
bình-định,52,Binh Dinh
lâm-đồng,68,Lam Dong
bình-phước,70,Binh Phuoc
?ông-nam-b?,vn-331,?Ong Nam B?
hậu-giang,93,Hau Giang
quảng-bình,44,Quang Binh
đắk-nông,67,Dak Nong
kon-tum,62,Kon Tum
cao-bằng,04,Cao Bang
?ông-b?c,vn-307,?Ong B?C
hoàng-sa,hs01,Hoang Sa
trường-sa,truongsa,Truong Sa
bến-tre,83,Ben Tre
tiền-giang,82,Tien Giang
long-an,80,Long An
phú-yên,54,Phu Yen
gia-lai,64,Gia Lai
đắk-lắk,66,Dak Lak
ninh-thuận,58,Ninh Thuan
khánh-hòa,56,Khanh Hoa
bình-thuận,60,Binh Thuan
