socakhoi,socadangdieutri,socatuvong,hc-key,value
2590,3167,7,24,5764
479,4411,13,79,4903
931,690,8,27,1629
800,13,0,30,813
614,96,32,48,745
506,220,17,01,744
45,498,0,74,543
128,40,0,56,168
28,134,0,54,162
67,89,0,33,156
120,25,0,77,145
122,11,3,49,136
5,129,1,82,135
42,90,1,72,133
11,119,0,80,130
7,120,0,42,127
50,63,0,26,113
4,106,0,40,110
18,91,1,20,110
87,12,0,22,99
7,83,0,51,90
24,65,0,91,89
27,46,0,87,73
55,17,0,34,72
31,33,0,75,64
42,17,0,11,59
40,16,0,35,56
53,0,0,95,53
36,15,0,37,51
8,37,0,89,45
33,6,0,17,39
34,1,0,92,35
27,4,0,64,31
26,5,0,38,31
18,8,0,36,26
11,14,0,60,25
12,10,0,31,22
13,8,0,86,21
18,2,0,83,20
0,19,0,94,19
8,10,0,84,18
12,1,1,45,14
12,0,0,58,12
8,1,0,96,9
8,1,0,19,9
5,3,0,25,8
4,4,0,66,8
6,0,0,46,6
2,4,0,10,6
5,0,0,15,5
1,4,0,52,5
0,5,0,06,5
3,1,0,02,4
0,2,0,70,2
1,0,0,12,1
0,1,0,14,1
1,0,0,08,1
